Love Speaks,,3730000,2013-11-8
Conspirators,,3580000,2013-4-27
Crimes of Passion (2013),China Film,3530000,2013-8-8
Christmas Rose,,3380000,2013-5-24
Kuiba 2,,3330000,2013-5-31
Farm House 81,,3080000,2013-9-27
Lift to Hell,HuaXia,3030000,2013-2-22
Mayday Nowhere 3D,China Film,3020000,2013-9-19
Thieves (2011),HuaXia,2950000,2013-1-15
Baby Blues (2013),,2850000,2013-10-31
Django Unchained,China Film,2650000,2013-5-12
The Frog Kingdom,Wanda,2580000,2013-12-28
August 8th,China Film,2560000,2013-9-13
The Reef 2: High Tide,HuaXia,2390000,2013-12-30
Mysterious Island 2,,2350000,2013-1-26
Kunta,,2290000,2013-8-2
Balala the Fairies,,2030000,2013-1-30
Forever Love,China Film,2030000,2013-1-1
A Chilling Cosplay,China Film,1920000,2013-10-29
The Wrath of Vajra,China Film,1870000,2013-9-24
Bullet to the Head,China Film,1840000,2013-7-8
Fall in Love,,1830000,2013-3-8
A Moment Of Love,HuaXia,1730000,2013-8-23
Sammy's Adventures 2,China Film,1700000,2013-6-28
Ip Man: The Final Fight,,1700000,2013-3-22
The Chrysalis,,1690000,2013-2-1
I Love Hong Kong 2013,China Film,1590000,2013-6-4
Ni guang fei xiang (Touch of the Light),China Film,1240000,2013-6-6
Jungle Master,China Film,1220000,2013-1-19
My Boyfriends,China Film,1220000,2013-11-15
Welcome to the Punch,HuaXia,1160000,2013-12-6
The Mortician,,1040000,2013-5-16
Jobs,China Film,1030000,2013-9-27
Love In Time,,950000,2013-1-11
Pororo: The Racing Adventure,China Film,940000,2013-1-25
The Ideal City,China Film,880000,2013-9-18
Angry Kid (2013),China Film,850000,2013-1-28
Jin Tai Lang De Xing Fu Sheng Huo,,830000,2013-4-12
The Soccer Way,,810000,2013-6-8
Born To Love You,China Film,680000,2013-1-11
An End to Killing,China Film,670000,2013-3-22
Sur la piste du Marsupilami,China Film,650000,2013-7-17
The Iron Lady,HuaXia,640000,2013-3-8
Gone (2013),HuaXia,630000,2013-1-25
The Incredible Truth,HuaXia,620000,2013-4-28
Love Bank,,610000,2013-3-14
The Deadly Strands,China Film,610000,2013-7-5
Dead Sign,China Film,580000,2013-9-6
Running All the Way,HuaXia,540000,2013-5-24
Midnight Microblog,,500000,2013-3-1
Bu Bu Zhui Hun,,490000,2013-11-15
Fall of Ming,,460000,2013-10-25
A Style of Men in Beijing,China Film,410000,2013-6-21
Neuk-dae-so-nyeon (A Werewolf Boy),HuaXia,390000,2013-12-19
Sweet Heart Chocolate,China Film,380000,2013-11-8
Gambler Husband Vs. Gambler Wife,China Film,330000,2013-4-28
Black Mirror,China Film,320000,2013-11-11
I Want You,,280000,2013-12-27
Happy Life of Yang Guang,,270000,2013-2-26
Lost (2013),,250000,2013-12-28
Singing When We Are Young,China Film,200000,2013-7-3
Voltage Extraordinaire,Wanda,160000,2013-11-28
Piano Trojan,,120000,2013-5-10
Starbuck,China Film,100000,2013-4-29
Xi Bai Po 2: Wang Er Xiao,,70000,2013-4-28
2012,,68670540,2009-11-13
Transformers: Revenge of the Fallen,,65837290,2009-6-24
Chi bi: Xia - Jue zhan tian xia (Red Cliff: Part II),,38043199,2009-1-7
